,created_at,tweet,frames
26,2022-10-15 20:22:46+00:00,"""@5178593464132609499 @7872034424695633107 the most shocking thing about this story is that andy warhol is still alive. but it is a perfect example of privileged people trying to do """"good"""". it's like this local woman that thought trying to teach homeless people yoga was """"contributing""""""",['societal_critique']
27,2022-09-18 22:09:21+00:00,"""@5312812684738839899 why in the world are you giving homeless folks $12,000 a piece? do denver voters know you are doing this? you are asking for drug addicts and drunks on the streets making the city look like a third-world country. another disgraceful democrat mayor.""","['government_critique', 'harmful_generalization', 'money_aid_resource_allocation', 'not_in_my_backyard']"
28,2022-05-01 21:07:51+00:00,"""@5431169537540944186 been there at least a dozen times. great food and cheap whisky. even the homeless are tidy, polite and don’t block the sidewalk.""","['harmful_generalization', 'solutions_interventions', 'personal_interaction_observation_of_homelessness']"
29,2022-12-26 08:59:17+00:00,"""@5513088804393931257 let me make a homeless suggestion kid. get rid of those tattoos, get some psychological help. stop hurting yourself love yourself first and they'll be hugs abound and love everywhere""","['harmful_generalization', 'solutions_interventions']"
30,2022-06-24 21:27:48+00:00,"""@5514486371385661472 @5996525855448208750 us liberated by china: abortion for all, single payer healthcare, homeless put into dorms, and high-speed rail covering the country in 3 years.""",['harmful_generalization']
31,2022-12-25 01:37:48+00:00,"""@5589232161953914163 man, that's some epic rambling bullsh** right there. what is it that you idolize about that guy? i mean, seriously, you could get the same level of coherence out of a random meth-head from the homeless shelter.""","['harmful_generalization', 'societal_critique']"
32,2022-01-18 19:07:01+00:00,"""@5614776259365553967 @6187471720771630623 @8315152137042417493 @69783309414944954 here we are - back to people proving who they are. should homeless people get a chance to vote? people who ran away from home and don’t have a birth certificate? why can you buy a gun w/o an id, but you need one to vote? it’s because the gop wants guns, but don’t want poc voting.""","['harmful_generalization', 'government_critique', 'solutions_interventions']"
33,2022-01-05 17:07:15+00:00,"""@5653683089589068928 it all about covid but certainly #us it’s enduring awful moments right now like #guncontrol people dying without any insurance, #homeless #gangs #juvenilejustice #immigration but all i see it’s post about covid … it’s time to do the things right and stop hiding behind a virus""","['harmful_generalization', 'deserving_undeserving_of_resources', 'solutions_interventions']"
34,2022-05-10 18:28:34+00:00,"""@5783779603777546502 @1505444805435448897 $40 billion for ukraine is nothing but looting tax payers hard earned money through war contractors by us politicians.
 this money shall go to homeless americans,free food and free health insurance to us citizens.""","['government_critique', 'deserving_undeserving_of_resources', 'money_aid_resource_allocation']"
35,2022-12-31 20:42:23+00:00,"""@5784842790907993622 @1127554845813417831 1) your comment started with a fundamental error claiming """"it wasn't the wrong address"""" when that was the specific point of contention. 
 2) homeless people don't vote by mail since they don't have an address.""",['societal_critique']
36,2022-12-27 16:03:08+00:00,"""@5871218052410523238 @8577977949428187073 seriously?? he’s saying the city is spending $170 million on bike lanes, while the homeless count soars.
 

 $170m is better spent pretty much on anything else.""",['money_aid_resource_allocation']
37,2022-07-20 00:21:33+00:00,"""@5948476328575757567 and the people who still have to work, even if they get heatstroke? the homeless? those in poor housing? not everyone has the freedom to defend themselves against extreme heat - or a sociopath government and public discourse.""","['government_critique', 'societal_critique', 'solutions_interventions']"
38,2022-04-28 01:23:00+00:00,"""@5975445346791712377 money buys food 
 

 can pay your bills to make sure your not homeless 
 

 can buy most forms of entertainment 
 

 so yeah money does buy happiness""","['harmful_generalization', 'solutions_interventions']"
39,2022-01-08 10:08:42+00:00,"""@5983450804475846209 all this makes me sick, i love his movies, but flipping heck this is like a sekt.
 he is not the male mother teresa, he still got 300 dollars but great publicity.
 than i give £10 to a homeless person, i gave in % more than him.
 get a life.""","['societal_critique', 'solutions_interventions']"
40,2022-01-30 08:17:48+00:00,"""@6048078990907492055 in other countries people who do this tipe of crime they call and claim responsibility ,in nigeria bokoharam and in america is isis, the like of bin laden in south africa they are so cowards this groups they hide under mental/ homeless/ but the guy have dstv, electricity/ renting""","['harmful_generalization', 'societal_critique']"
41,2022-10-26 18:22:45+00:00,"""@6285288619683384763 here, i’ll finish this argument: both of their parties are responsible for the conditions that are making people homeless in the first place. cindy needs to remember that her party is supposed to be centre left and luxy needs to get in the bin.""","['government_critique', 'solutions_interventions']"
42,2022-10-11 21:54:03+00:00,"""@6777450240185900485 and we weren’t all hipsters. many of us are people who have been homeless, who’s own family was in the parks. and even still i’m grateful that young people got it and understood that people shouldn’t be abandoned to die and went out and supported their neighbours.""",['0']
43,2022-04-09 19:36:39+00:00,"""@6967953627816730105 so we are the same i'm 100% in dgb too <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 153]'></span> iv put maybe 15/20 thousand hours into studying crypto over past 2/3 years i had a tragic thing happen to me ended up homeless which stopped me getting rich already, i yousta own 2.6 million doge and it ran up to £0.6,won't let you down!""",['0']
44,2022-10-21 12:14:18+00:00,"""@7006931486479525992 i've never in my life felt scared around a homeless man or woman ever in my life.
 

 instead of ignoring them how about helping them
 

 we need term limits in congress asap""","['harmful_generalization', 'government_critique', 'solutions_interventions']"
45,2022-12-18 13:57:48+00:00,"""@7111266514146222812 a popular local builder now just walks around like a homeless person with dementia.
 so sad.""","['harmful_generalization', 'personal_interaction_observation_of_homelessness']"
46,2022-05-02 05:51:15+00:00,"""@7584760445017468180 @4620413277416381989 @6977964539464685111 according to the bible nkjv, it’s “not” a sin to be rich or poor. so, why is it a crime to be homeless? or to abuse, hurt, even murder the homeless?
  
 democrat vs republican
 donkey vs elephant
 which of the two animals did jesus choose to ride on?
 choose and vote.""","['harmful_generalization', 'government_critique', 'solutions_interventions']"
47,2022-05-01 21:00:17+00:00,"""@7728970093892072475 @7309609482504148650 @7307632827864645610 mr o brien changed the criteria for counting homeless people as did his predecessor so whatever homeless figures o brien gives you can add on at least another 3,000""",['government_critique']
48,2022-12-10 08:44:29+00:00,"""@7751301915891317773 @7851097189409064854 no sign of you preaching about helping the homeless here, leaving it up to dots and charging them ulez<span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 172]'></span>""",['societal_critique']
49,2022-11-08 05:21:53+00:00,"""@7905250114551581399 @8083919182936154619 more murder = done!
 more burglaries = done!
 dangerous subways = done!
 residents exiting = done!
 homeless crisis = done!
 no 2nd amendment rights = done!
 ignore supreme court = done!
 blame someone else = done!
 please stop getting things done <span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 143]'></span>""",['government_critique']
50,2023-02-05 20:35:36+00:00,"""@808336985840582267 they probably find them off the homeless shelter and decide """"hey you. do you want to be an ref and fuck up calls??""""""",['harmful_generalization']
51,2022-05-11 12:35:16+00:00,"""@8126066626342010840 2 weeks before my brain surgery almost 8 years ago. there was a homeless guy, daniel, that sat outside a convenience store i stopped at regularly for gas. i had given him money before and even bought him food. with the surgery looming i didn't know how it was going to turn out.""","['solutions_interventions', 'personal_interaction_observation_of_homelessness']"
52,2022-01-22 04:17:26+00:00,"""@8270247751015784496 that is cold
 we do have that for two weeks at a time. happy when it is -20c. presently above 0c til 31st. there are some that struggle here, but no homeless.
 

 great person helping one’s fellow human in need.""",['solutions_interventions']
53,2022-06-06 18:44:47+00:00,"""@8489871091145005741 @4706184230406880539 you’re talking about poor leadership and not implementing policies. 
 

 i am the target audience for this party. i’m right wing. ex ukip. politically homeless. 
 

 fact is, reform’s policies were basically non-existent last time and 90% of its candidates were awful.
 

 strive 4 better.""",['0']
54,2022-03-12 20:41:15+00:00,"""@8637178049325162219 @4114578674571428450 various states now allow people to claim their car as a residence, so as to address that particular issue. as for places where homeless can take care of hygienic needs, there are ways to make this happen. unfortunately, the pols in ca are doing nothing to change things. nothing.""","['government_critique', 'solutions_interventions']"
55,2022-10-18 19:33:20+00:00,"""@8797871692450196142 @8398240052109474581 if i lost my medicare, which i’ve paid into since i started to work at 14, i guess i could become another homeless person. oh wait, republicans don’t think the homeless should be on the streets. they don’t have a solution to the homeless problem they just complain about it.""","['government_critique', 'solutions_interventions']"
56,2022-06-27 04:05:58+00:00,"""@8963559657570451841 @1030555280692003553 you are basically saying abortion is the cure all to rid the population of the would be poor, hungry, homeless and fostered children. are we in nazi germany all over again?""","['harmful_generalization', 'solutions_interventions']"
57,2022-11-23 18:55:57+00:00,"""coming up on the news: homeless businessman runs away from a fish, coming up at 6""",['media_portrayal']
58,2022-04-13 05:37:46+00:00,"""homeless man just asked for money i said i didn’t have cash, y’all he told me he got cash app i’m fucking dead <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span>""",['personal_interaction_observation_of_homelessness']
59,2022-02-12 15:33:58+00:00,"""i couldn’t fit it in the column, but other issue people have raised is how continued prohibition disproportionately criminalizes/stigmatizes people who are homeless. reality is, middle-class white folks who want an illicit drink will prob continue to get away with it. #yeg #yegcc""","['government_critique', 'solutions_interventions']"
60,2022-03-16 15:44:14+00:00,"""i literally can't stand when ppl record themselves doing something for someone in need, like giving food to homeless ppl. it isn't ur situation to profit off of my luv""",['societal_critique']
61,2022-10-04 14:14:50+00:00,"""if you happen to be in sw fl, and you would like to help victims of hurricane ian, the people staying in the parking lots of walmart and other businesses are homeless due to the hurricane.
 

 they need pillows, blankets, clean &amp; dry clothing, and personal hygiene.
 

 thank you!""",['solutions_interventions']
62,2022-11-07 13:39:51+00:00,"""imagine being rich enough to literally be able to single-handedly solve world hunger and the homeless crisis and be known as the world's greatest hero, only to instead choose to become the most hated person bullied relentlessly on your own social network lol""",['money_aid_resource_allocation']
63,2022-03-02 22:26:24+00:00,"""i’m nervous guys as u can see my tweet anxiety!
 

 court is hell no matter how many times—like being arrested. it’s why they do it all the time!
 do nothing but rip me apart call me a whore! lawyers continue abuse!
 

 no justice here!
 #metoo #homeless""",['0']
64,2022-01-11 19:47:08+00:00,"""i’m throwing a handful of nickels at the next mf i see holding a homeless sign and scrolling on a cell phone! you bed-not be on fb and who tf you texting, another homeless mf!? they some scammers""",['harmful_generalization']
65,2021-12-29 21:46:16+00:00,"""like i got a dog <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 128]'></span>
 my aunt gave my dog away w/o my consent and now he’s halfway across the country n i can’t get him back <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 144]'></span>
 i got a boyfriend and moved in with him<span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 128]'></span>
 i had no choice but to move in with him bc i was made homeless<span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 144]'></span>""",['0']
66,2023-01-11 06:22:55+00:00,"""nah homeless people call you whatever for that change, talkin bout some king god bless you <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span>""",['harmful_generalization']
67,2022-10-01 18:04:33+00:00,"""next time is see a homeless person on the street, i’ll put £20 through a rich person’s door - trickle down effect will happen and they’ll benefit. mark my words!""","['government_critique', 'solutions_interventions', 'money_aid_resource_allocation']"
68,2022-12-14 13:15:33+00:00,"""no new clothes listed today since we want to have a slow ease back into work in the new year.
 

 please remember to support your local shelters and homeless services and donate to your food bank if you can!
 

 be good, find warmth, be together x""",['solutions_interventions']
69,2022-12-06 23:14:02+00:00,"""political spending needs to come with a stipulation that equal amounts are donated to homeless shelters, veteran hospitals, and school lunch programs. all that money for advertising helps cable companies who already have money. @8173473699369896745""","['harmful_generalization', 'money_aid_resource_allocation', 'solutions_interventions']"
70,2022-08-08 17:32:02+00:00,"""the white queen is bombarded by the african homeless in her home ♠️<span class='emoji-bytes' data-emoji-bytes='[240, 159, 148, 165]'></span>
 

  #bnwo #sissy #snowbunny #horny #kink #cuck #taboo #slave #blackbred #findom #femdom #sph #gay #cashapp #humiliation #bbc #collegegirls #goon #gooner #wank #blacked #slut #qos #simp #loser #pathetic #cum #of""",['harmful_generalization']
71,2022-03-17 04:10:57+00:00,"""tonight on the news: homeless boy is optimistic about mothman, more at 3""",['media_portrayal']
72,2023-01-27 09:42:55+00:00,"""transitional homeless whilst we have housing gaps is a (hindrance) to safety to both men and women in our community.
 

 everyone should have a place to call home. 
 

 i will continually speak on behalf of our locality to promise housing that is affordable secure and long term.""",['solutions_interventions']
73,2022-08-18 06:18:01+00:00,"""will never forget when a homeless man woke me up and took his pants off in front of me, leading me to scream and wake up 11 other campers. i love you all, but i will never camp for a st paul show ever again <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 128]'></span>""",['personal_interaction_observation_of_homelessness']
74,2022-04-04 07:18:10+00:00,@1069814565362322669 @618134589457054184 @914320443192654725 @5969725348357695585 @8502016659661873171 where’s all the money for the homeless people.. and ppl struggling to get back on their feet after pandemic….but yeah send all money to every country and we get poorer paying our outrageous taxes with nothing in return except astronomical inflation! politicians are 2 faced p0s!,"['government_critique', 'deserving_undeserving_of_resources', 'money_aid_resource_allocation']"
75,2022-01-19 03:28:35+00:00,@1123125353146145756 why are so many people blaming everything and everyone except the people who are homeless? what happened to personal responsibility?,"['harmful_generalization', 'societal_critique']"
76,2022-01-15 04:37:33+00:00,@1527744608033775099 @3956780460204532891 @1226994538314332079 those homeless drug addicts brought this upon themselves.,['harmful_generalization']
77,2021-12-29 17:02:22+00:00,@1551090075402264000 lol at the notion of seeing some homeless people near the stairs outside penn and then thinking all new york is a crime riddled hellscape. i wish they would stay in long island,"['not_in_my_backyard', 'harmful_generalization', 'personal_interaction_observation_of_homelessness']"
78,2023-01-19 16:40:15+00:00,@1615841550319720217 @854804450295468849 this prick did not spray the homeless woman. he continually hosed her down as if she was an animal that needed a bath.,"['harmful_generalization', 'societal_critique', 'personal_interaction_observation_of_homelessness']"
79,2022-08-30 09:10:35+00:00,@1633978955583281129 i will not sit back and allow the blairite p.r. engine to gaslight the nation with delusional thoughts implying that @8996948837761798370 is a 'socialist' whilst he's using the victorian vagrancy act to arrest the homeless of manchester #enoughisenough #opsafewinter,"['media_portrayal', 'government_critique', 'societal_critique']"
80,2022-12-29 02:25:11+00:00,@178407041466223221 me when i see a homeless persons tent,['0']
81,2023-01-19 03:00:32+00:00,@1800139553457295707 ted i know you will not see this its ok i'm in iowa and a vet i am living month to month on ssi i will be homeless soon one of many that are there now and how many more to come,['0']
82,2023-01-04 18:54:55+00:00,@1948209803808843974 $3.283.636 or $6.500 monthly for the next 43 years … but if i live further than 80 years old then i’m homeless lol,"['harmful_generalization', 'money_aid_resource_allocation']"
83,2022-11-30 19:37:25+00:00,@199058986181937975 they must just rent out this building for homeless people,['solutions_interventions']
84,2023-01-30 23:05:46+00:00,"@24215806389989945 lmao good 4 u and?????? <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span> yet you’d accuse that same white homeless person of being racist","['harmful_generalization', 'societal_critique']"
85,2022-08-29 15:12:25+00:00,@2646888335083717073 this will hurt homeless people who don't have checking accounts,['solutions_interventions']
86,2022-12-09 21:18:24+00:00,@2808257357192500372 to bad you didn't give a flying duck about the homeless your conservative premiers stealing our money because they won't tell us what they did with the covid money non existence hepa filters to our schools across canada but guns your right on it shame on you just like you,"['government_critique', 'money_aid_resource_allocation']"
87,2022-08-29 13:59:19+00:00,@2888764448018520851 no offense u look homeless lmao,['harmful_generalization']
88,2022-11-04 19:08:57+00:00,@2917463972537559808 @7299593329707391888 life in california if you don’t have a trust fund…. you live in a bungalow or are homeless,['harmful_generalization']
89,2022-03-12 17:54:32+00:00,@3110642324139973245 it’s there to show that it was fairly low cost to produce and i’d hope that serves to encourage other cities to create similar safe places for the homeless,['solutions_interventions']
90,2022-12-18 23:24:38+00:00,@3134211635871534857 you are so lovely. thanks for bringing attention to the homeless. takes a real pathetic lowlife to make negative comments against her campaign. merry christmas alberta! keep up the great work danielle smith.,"['government_critique', 'societal_critique']"
91,2022-12-12 19:48:33+00:00,@3155629911486983553 and how absolutely no one asked how to help the homeless.,"['societal_critique', 'solutions_interventions']"
92,2021-12-27 17:26:05+00:00,"@315613511850078794 homeless plastic surgery <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span>",['harmful_generalization']
93,2022-09-15 03:01:50+00:00,@355307197863105527 they get so mad when they pass pro vagrancy legislation; and then the surrounding police start dumping their homeless on them.,"['harmful_generalization', 'government_critique', 'solutions_interventions']"
94,2022-09-27 12:19:18+00:00,@3640985293141670092 pov u got slayed by a homeless man,['personal_interaction_observation_of_homelessness']
95,2022-11-12 03:52:42+00:00,@3793838925469259798 @4878545497530765965 @4295813784302262478 @9187555702961102615 we don’t have socialism. the middle class is basically getting wiped out. rich people will be fine no matter what. homeless people will benefit. the middle class is getting destroyed.,"['societal_critique', 'solutions_interventions']"
96,2022-02-14 15:07:34+00:00,"@3811176366475704878 california officials are too focused on those not wearing their masks that they can’t see the homeless filling their state <span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 154]'></span>","['government_critique', 'deserving_undeserving_of_resources']"
97,2023-01-17 15:52:34+00:00,@3965139227790384774 when did rob schneider turn into steve buscemi's homeless character from big daddy,['media_portrayal']
98,2022-09-09 10:25:22+00:00,@409662958221676916 @8049776053134950651 and without rent control there’s tons of empty places and homeless.,"['government_critique', 'solutions_interventions']"
99,2023-02-07 21:31:40+00:00,@4125499974215351813 just two blocks from pm albanese office... a homeless woman has been sitting on this corner for at least four months.....,['personal_interaction_observation_of_homelessness']
100,2022-01-09 18:17:16+00:00,@4148366678500083278 @7615129907798958145 i'm homeless,['0']
101,2022-11-28 00:48:40+00:00,@4157643827339835453 i know homeless people who do not give a single f*k. true power,['personal_interaction_observation_of_homelessness']
102,2023-02-06 03:53:26+00:00,@4178976997867358831 support farming/ agriculture and the use of excesive production to feed the homeless and the poor.,['solutions_interventions']
103,2022-10-22 12:28:03+00:00,"@4246977293953414109 please no <span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 166]'></span>‍♀️ .. i do understand you have no one else in your party who could or would do anything to be a representative of the public g e needed sorry to say ... i'm politically homeless <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 161]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 136]'></span> .. you've made the wrong choice imo <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 162]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 148]'></span>",['0']
104,2022-06-11 03:57:10+00:00,@4538573891210744654 it never fails,['0']
105,2022-09-16 22:03:17+00:00,@4553035630028259004 @3254705939180278490 @8185100978761739333 @7338632954662670228 @8398240052109474581 @6288697464496689777 @4024164735522998199 i can find pictures of homeless camps in republican run city and states as well.,['government_critique']
106,2022-12-29 17:37:40+00:00,@4632677012837287813 @454397867473145697 @3584832601874845670 if you want to solve the drug addiction problem you think that’s easier to do while you’re homeless or when you have a home?,['harmful_generalization']
107,2022-12-29 10:33:00+00:00,"@4904124095637094757 this is so horrible to be homeless <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 165]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 165]'></span> i hope so i don't come in the situation",['0']
108,2022-08-11 07:26:13+00:00,@4916176023349484195 agree - a class crisis. middle &amp; lower class strived for greater quality of life now middle class the new lower class and lower class homeless. money laundering into real estate and lack of foreign controls on real estate investing ballooned real estate costs creating this chasm.,"['harmful_generalization', 'societal_critique']"
109,2022-02-12 16:15:54+00:00,@5033612352963623591 sure ... send free pillows to truckers who are going to be homeless soon.,"['money_aid_resource_allocation', 'solutions_interventions']"
110,2022-11-01 19:01:07+00:00,@5106154684474023885 @1221136057837988476 she may be homeless but she's not poor and she made herself homeless that's the difference,"['harmful_generalization', 'personal_interaction_observation_of_homelessness']"
111,2022-12-24 19:10:26+00:00,@5195556303809350619 maybe the line 'you could make tonight someone’s last night on the streets' could be clarified to make sure people realise you mean to put the homeless into warm accommodation rather than dying on the street.,['solutions_interventions']
112,2022-10-29 23:53:14+00:00,@5252615514678453847 let’s be clear. he’s a homeless drug addict who former neighbors describe as having left wing ideologies. the maga story is from media bc he asked where nancy is same as jan 6 rioters asked. paul described him as a friend to 911 operator so perhaps a friend asking for nancy.,"['harmful_generalization', 'government_critique']"
113,2023-01-27 22:36:38+00:00,@5653683089589068928 stop wasting millions of dollars on israel your country is full of homeless and poverty gun control is america biggest enemy to many israel operatives and idiot trump needs to be prosecuted america needs to build bridges with other countries not look after israel interests,"['government_critique', 'deserving_undeserving_of_resources', 'solutions_interventions', 'money_aid_resource_allocation']"
114,2022-06-19 14:25:12+00:00,@5811041878411640737 @5898798917501359610 @3371216615915238943 full of rats and homeless fans,['harmful_generalization']
115,2022-10-05 06:05:58+00:00,"@5908370329348632175 how about dressing homeless and them beards quinn does? <span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 148]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 134]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 165, 176]'></span>",['harmful_generalization']
116,2022-09-22 01:49:04+00:00,@6068137607959387626 please i have ptsd from that bullshit meltdown and treatment of sutton at the toothless homeless event. her behavior all season is ptsd worthy,"['harmful_generalization', 'personal_interaction_observation_of_homelessness']"
