,date,attitude,frequency,state
64,2022-02-08,harmful generalization,1258.0,All Posts
65,2022-02-09,harmful generalization,1531.0,All Posts
66,2022-02-10,harmful generalization,1498.0,All Posts
67,2022-02-11,harmful generalization,1546.0,All Posts
68,2022-02-12,harmful generalization,1145.0,All Posts
69,2022-02-13,harmful generalization,1107.0,All Posts
70,2022-02-14,harmful generalization,1190.0,All Posts
71,2022-02-15,harmful generalization,1281.0,All Posts
72,2022-02-16,harmful generalization,1275.0,All Posts
73,2022-02-17,harmful generalization,1198.0,All Posts
74,2022-02-18,harmful generalization,1315.0,All Posts
75,2022-02-19,harmful generalization,1211.0,All Posts
76,2022-02-20,harmful generalization,1047.0,All Posts
77,2022-02-21,harmful generalization,1055.0,All Posts
78,2022-02-22,harmful generalization,1064.0,All Posts
79,2022-02-23,harmful generalization,1081.0,All Posts
80,2022-02-24,harmful generalization,932.0,All Posts
81,2022-02-25,harmful generalization,858.0,All Posts
82,2022-02-26,harmful generalization,939.0,All Posts
83,2022-02-27,harmful generalization,765.0,All Posts
84,2022-02-28,harmful generalization,860.0,All Posts
85,2022-03-01,harmful generalization,922.0,All Posts
86,2022-03-02,harmful generalization,864.0,All Posts
87,2022-03-03,harmful generalization,989.0,All Posts
88,2022-03-04,harmful generalization,862.0,All Posts
89,2022-03-05,harmful generalization,825.0,All Posts
90,2022-03-06,harmful generalization,819.0,All Posts
91,2022-03-07,harmful generalization,883.0,All Posts
92,2022-03-08,harmful generalization,840.0,All Posts
93,2022-03-09,harmful generalization,1075.0,All Posts
94,2022-03-10,harmful generalization,955.0,All Posts
95,2022-03-11,harmful generalization,881.0,All Posts
96,2022-03-12,harmful generalization,1005.0,All Posts
97,2022-03-13,harmful generalization,1050.0,All Posts
98,2022-03-14,harmful generalization,1183.0,All Posts
99,2022-03-15,harmful generalization,1186.0,All Posts
100,2022-03-16,harmful generalization,1012.0,All Posts
101,2022-03-17,harmful generalization,936.0,All Posts
102,2022-03-18,harmful generalization,888.0,All Posts
103,2022-03-19,harmful generalization,812.0,All Posts
104,2022-03-20,harmful generalization,857.0,All Posts
105,2022-03-21,harmful generalization,850.0,All Posts
106,2022-03-22,harmful generalization,888.0,All Posts
107,2022-03-23,harmful generalization,941.0,All Posts
108,2022-03-24,harmful generalization,1086.0,All Posts
109,2022-03-25,harmful generalization,977.0,All Posts
110,2022-03-26,harmful generalization,846.0,All Posts
111,2022-03-27,harmful generalization,867.0,All Posts
112,2022-03-28,harmful generalization,945.0,All Posts
113,2022-03-29,harmful generalization,1151.0,All Posts
114,2022-03-30,harmful generalization,987.0,All Posts
115,2022-03-31,harmful generalization,1159.0,All Posts
116,2022-04-01,harmful generalization,1023.0,All Posts
117,2022-04-02,harmful generalization,852.0,All Posts
118,2022-04-03,harmful generalization,894.0,All Posts
119,2022-04-04,harmful generalization,1020.0,All Posts
120,2022-04-05,harmful generalization,1003.0,All Posts
121,2022-04-06,harmful generalization,1002.0,All Posts
122,2022-04-07,harmful generalization,987.0,All Posts
123,2022-04-08,harmful generalization,970.0,All Posts
124,2022-04-09,harmful generalization,871.0,All Posts
125,2022-04-10,harmful generalization,1089.0,All Posts
126,2022-04-11,harmful generalization,944.0,All Posts
127,2022-04-12,harmful generalization,1169.0,All Posts
128,2022-04-13,harmful generalization,1255.0,All Posts
129,2022-04-14,harmful generalization,1355.0,All Posts
130,2022-04-15,harmful generalization,1404.0,All Posts
131,2022-04-16,harmful generalization,1034.0,All Posts
132,2022-04-17,harmful generalization,978.0,All Posts
133,2022-04-18,harmful generalization,1025.0,All Posts
134,2022-04-19,harmful generalization,1232.0,All Posts
135,2022-04-20,harmful generalization,1182.0,All Posts
136,2022-04-21,harmful generalization,1046.0,All Posts
137,2022-04-22,harmful generalization,986.0,All Posts
138,2022-04-23,harmful generalization,886.0,All Posts
139,2022-04-24,harmful generalization,992.0,All Posts
140,2022-04-25,harmful generalization,1097.0,All Posts
141,2022-04-26,harmful generalization,1521.0,All Posts
142,2022-04-27,harmful generalization,1230.0,All Posts
143,2022-04-28,harmful generalization,1157.0,All Posts
144,2022-04-29,harmful generalization,1162.0,All Posts
145,2022-04-30,harmful generalization,1055.0,All Posts
146,2022-05-01,harmful generalization,993.0,All Posts
147,2022-05-02,harmful generalization,1161.0,All Posts
148,2022-05-03,harmful generalization,1341.0,All Posts
149,2022-05-04,harmful generalization,1333.0,All Posts
150,2022-05-05,harmful generalization,1156.0,All Posts
151,2022-05-06,harmful generalization,1049.0,All Posts
152,2022-05-07,harmful generalization,995.0,All Posts
153,2022-05-08,harmful generalization,940.0,All Posts
154,2022-05-09,harmful generalization,981.0,All Posts
155,2022-05-10,harmful generalization,1176.0,All Posts
156,2022-05-11,harmful generalization,1272.0,All Posts
157,2022-05-12,harmful generalization,1183.0,All Posts
158,2022-05-13,harmful generalization,1147.0,All Posts
159,2022-05-14,harmful generalization,1219.0,All Posts
160,2022-05-15,harmful generalization,931.0,All Posts
161,2022-05-16,harmful generalization,927.0,All Posts
162,2022-05-17,harmful generalization,998.0,All Posts
163,2022-05-18,harmful generalization,1002.0,All Posts
164,2022-05-19,harmful generalization,1070.0,All Posts
165,2022-05-20,harmful generalization,1083.0,All Posts
166,2022-05-21,harmful generalization,1066.0,All Posts
167,2022-05-22,harmful generalization,1071.0,All Posts
168,2022-05-23,harmful generalization,1078.0,All Posts
169,2022-05-24,harmful generalization,1177.0,All Posts
170,2022-05-25,harmful generalization,1496.0,All Posts
171,2022-05-26,harmful generalization,1279.0,All Posts
172,2022-05-27,harmful generalization,1186.0,All Posts
173,2022-05-28,harmful generalization,1114.0,All Posts
174,2022-05-29,harmful generalization,949.0,All Posts
175,2022-05-30,harmful generalization,885.0,All Posts
176,2022-05-31,harmful generalization,1184.0,All Posts
177,2022-06-01,harmful generalization,1310.0,All Posts
178,2022-06-02,harmful generalization,1067.0,All Posts
179,2022-06-03,harmful generalization,1216.0,All Posts
180,2022-06-04,harmful generalization,1114.0,All Posts
181,2022-06-05,harmful generalization,1037.0,All Posts
182,2022-06-06,harmful generalization,1047.0,All Posts
183,2022-06-07,harmful generalization,1286.0,All Posts
184,2022-06-08,harmful generalization,1514.0,All Posts
185,2022-06-09,harmful generalization,1352.0,All Posts
186,2022-06-10,harmful generalization,1157.0,All Posts
187,2022-06-11,harmful generalization,1064.0,All Posts
188,2022-06-12,harmful generalization,1030.0,All Posts
189,2022-06-13,harmful generalization,1024.0,All Posts
190,2022-06-14,harmful generalization,1103.0,All Posts
191,2022-06-15,harmful generalization,1049.0,All Posts
192,2022-06-16,harmful generalization,1178.0,All Posts
193,2022-06-17,harmful generalization,1190.0,All Posts
194,2022-06-18,harmful generalization,1009.0,All Posts
195,2022-06-19,harmful generalization,804.0,All Posts
196,2022-06-20,harmful generalization,988.0,All Posts
197,2022-06-21,harmful generalization,981.0,All Posts
198,2022-06-22,harmful generalization,1094.0,All Posts
199,2022-06-23,harmful generalization,1173.0,All Posts
200,2022-06-24,harmful generalization,1531.0,All Posts
201,2022-06-25,harmful generalization,1553.0,All Posts
202,2022-06-26,harmful generalization,1180.0,All Posts
203,2022-06-27,harmful generalization,1204.0,All Posts
204,2022-06-28,harmful generalization,1162.0,All Posts
205,2022-06-29,harmful generalization,1144.0,All Posts
206,2022-06-30,harmful generalization,1201.0,All Posts
207,2022-07-01,harmful generalization,1110.0,All Posts
208,2022-07-02,harmful generalization,1032.0,All Posts
209,2022-07-03,harmful generalization,1147.0,All Posts
210,2022-07-04,harmful generalization,1164.0,All Posts
211,2022-07-05,harmful generalization,990.0,All Posts
212,2022-07-06,harmful generalization,1090.0,All Posts
213,2022-07-07,harmful generalization,1127.0,All Posts
214,2022-07-08,harmful generalization,1057.0,All Posts
215,2022-07-09,harmful generalization,1119.0,All Posts
216,2022-07-10,harmful generalization,1112.0,All Posts
217,2022-07-11,harmful generalization,1292.0,All Posts
218,2022-07-12,harmful generalization,1310.0,All Posts
219,2022-07-13,harmful generalization,1239.0,All Posts
220,2022-07-14,harmful generalization,1130.0,All Posts
221,2022-07-15,harmful generalization,1009.0,All Posts
222,2022-07-16,harmful generalization,1093.0,All Posts
223,2022-07-17,harmful generalization,1221.0,All Posts
224,2022-07-18,harmful generalization,1179.0,All Posts
225,2022-07-19,harmful generalization,1352.0,All Posts
226,2022-07-20,harmful generalization,1523.0,All Posts
227,2022-07-21,harmful generalization,1481.0,All Posts
228,2022-07-22,harmful generalization,1221.0,All Posts
229,2022-07-23,harmful generalization,1085.0,All Posts
230,2022-07-24,harmful generalization,1157.0,All Posts
231,2022-07-25,harmful generalization,1540.0,All Posts
232,2022-07-26,harmful generalization,1510.0,All Posts
233,2022-07-27,harmful generalization,1594.0,All Posts
234,2022-07-28,harmful generalization,1318.0,All Posts
235,2022-07-29,harmful generalization,1266.0,All Posts
236,2022-07-30,harmful generalization,1039.0,All Posts
237,2022-07-31,harmful generalization,1032.0,All Posts
238,2022-08-01,harmful generalization,1073.0,All Posts
239,2022-08-02,harmful generalization,1201.0,All Posts
240,2022-08-03,harmful generalization,1417.0,All Posts
241,2022-08-04,harmful generalization,1238.0,All Posts
242,2022-08-05,harmful generalization,1304.0,All Posts
243,2022-08-06,harmful generalization,1244.0,All Posts
244,2022-08-07,harmful generalization,1145.0,All Posts
245,2022-08-08,harmful generalization,1163.0,All Posts
246,2022-08-09,harmful generalization,1061.0,All Posts
247,2022-08-10,harmful generalization,1293.0,All Posts
248,2022-08-11,harmful generalization,1262.0,All Posts
249,2022-08-12,harmful generalization,1132.0,All Posts
250,2022-08-13,harmful generalization,1001.0,All Posts
251,2022-08-14,harmful generalization,1194.0,All Posts
252,2022-08-15,harmful generalization,1185.0,All Posts
253,2022-08-16,harmful generalization,1393.0,All Posts
254,2022-08-17,harmful generalization,1402.0,All Posts
255,2022-08-18,harmful generalization,1518.0,All Posts
256,2022-08-19,harmful generalization,1525.0,All Posts
257,2022-08-20,harmful generalization,1455.0,All Posts
258,2022-08-21,harmful generalization,1305.0,All Posts
259,2022-08-22,harmful generalization,1594.0,All Posts
260,2022-08-23,harmful generalization,1371.0,All Posts
261,2022-08-24,harmful generalization,1340.0,All Posts
262,2022-08-25,harmful generalization,1517.0,All Posts
263,2022-08-26,harmful generalization,1796.0,All Posts
264,2022-08-27,harmful generalization,1400.0,All Posts
265,2022-08-28,harmful generalization,1237.0,All Posts
266,2022-08-29,harmful generalization,1299.0,All Posts
267,2022-08-30,harmful generalization,1380.0,All Posts
268,2022-08-31,harmful generalization,1458.0,All Posts
269,2022-09-01,harmful generalization,1281.0,All Posts
270,2022-09-02,harmful generalization,1129.0,All Posts
271,2022-09-03,harmful generalization,1245.0,All Posts
272,2022-09-04,harmful generalization,1138.0,All Posts
273,2022-09-05,harmful generalization,1112.0,All Posts
274,2022-09-06,harmful generalization,1153.0,All Posts
275,2022-09-07,harmful generalization,1312.0,All Posts
276,2022-09-08,harmful generalization,1276.0,All Posts
277,2022-09-09,harmful generalization,1362.0,All Posts
278,2022-09-10,harmful generalization,1376.0,All Posts
279,2022-09-11,harmful generalization,1265.0,All Posts
280,2022-09-12,harmful generalization,1237.0,All Posts
281,2022-09-13,harmful generalization,1396.0,All Posts
282,2022-09-14,harmful generalization,1414.0,All Posts
283,2022-09-15,harmful generalization,1644.0,All Posts
284,2022-09-16,harmful generalization,1562.0,All Posts
285,2022-09-17,harmful generalization,1926.0,All Posts
286,2022-09-18,harmful generalization,1538.0,All Posts
287,2022-09-19,harmful generalization,1377.0,All Posts
288,2022-09-20,harmful generalization,1351.0,All Posts
289,2022-09-21,harmful generalization,1276.0,All Posts
290,2022-09-22,harmful generalization,1366.0,All Posts
291,2022-09-23,harmful generalization,1249.0,All Posts
292,2022-09-24,harmful generalization,1186.0,All Posts
293,2022-09-25,harmful generalization,1208.0,All Posts
294,2022-09-26,harmful generalization,1303.0,All Posts
295,2022-09-27,harmful generalization,1428.0,All Posts
296,2022-09-28,harmful generalization,1496.0,All Posts
297,2022-09-29,harmful generalization,1233.0,All Posts
298,2022-09-30,harmful generalization,1228.0,All Posts
299,2022-10-01,harmful generalization,1140.0,All Posts
300,2022-10-02,harmful generalization,1099.0,All Posts
301,2022-10-03,harmful generalization,1288.0,All Posts
302,2022-10-04,harmful generalization,1309.0,All Posts
303,2022-10-05,harmful generalization,1364.0,All Posts
304,2022-10-06,harmful generalization,1506.0,All Posts
305,2022-10-07,harmful generalization,1426.0,All Posts
306,2022-10-08,harmful generalization,1137.0,All Posts
307,2022-10-09,harmful generalization,1221.0,All Posts
308,2022-10-10,harmful generalization,2033.0,All Posts
309,2022-10-11,harmful generalization,1937.0,All Posts
310,2022-10-12,harmful generalization,1809.0,All Posts
311,2022-10-13,harmful generalization,1697.0,All Posts
312,2022-10-14,harmful generalization,1614.0,All Posts
313,2022-10-15,harmful generalization,1405.0,All Posts
314,2022-10-16,harmful generalization,1419.0,All Posts
315,2022-10-17,harmful generalization,1642.0,All Posts
316,2022-10-18,harmful generalization,1724.0,All Posts
317,2022-10-19,harmful generalization,1780.0,All Posts
318,2022-10-20,harmful generalization,1796.0,All Posts
319,2022-10-21,harmful generalization,2068.0,All Posts
320,2022-10-22,harmful generalization,1431.0,All Posts
321,2022-10-23,harmful generalization,1438.0,All Posts
322,2022-10-24,harmful generalization,1480.0,All Posts
323,2022-10-25,harmful generalization,1576.0,All Posts
324,2022-10-26,harmful generalization,1628.0,All Posts
325,2022-10-27,harmful generalization,1786.0,All Posts
326,2022-10-28,harmful generalization,2982.0,All Posts
327,2022-10-29,harmful generalization,3475.0,All Posts
328,2022-10-30,harmful generalization,2615.0,All Posts
329,2022-10-31,harmful generalization,2158.0,All Posts
330,2022-11-01,harmful generalization,2714.0,All Posts
331,2022-11-02,harmful generalization,2246.0,All Posts
332,2022-11-03,harmful generalization,2242.0,All Posts
333,2022-11-04,harmful generalization,2026.0,All Posts
334,2022-11-05,harmful generalization,1808.0,All Posts
335,2022-11-06,harmful generalization,1916.0,All Posts
336,2022-11-07,harmful generalization,1628.0,All Posts
337,2022-11-08,harmful generalization,1959.0,All Posts
338,2022-11-09,harmful generalization,2444.0,All Posts
339,2022-11-10,harmful generalization,1685.0,All Posts
340,2022-11-11,harmful generalization,1382.0,All Posts
341,2022-11-12,harmful generalization,1415.0,All Posts
342,2022-11-13,harmful generalization,1335.0,All Posts
343,2022-11-14,harmful generalization,1446.0,All Posts
344,2022-11-15,harmful generalization,1475.0,All Posts
345,2022-11-16,harmful generalization,1518.0,All Posts
346,2022-11-17,harmful generalization,1811.0,All Posts
347,2022-11-18,harmful generalization,1599.0,All Posts
348,2022-11-19,harmful generalization,1372.0,All Posts
349,2022-11-20,harmful generalization,1619.0,All Posts
350,2022-11-21,harmful generalization,1437.0,All Posts
351,2022-11-22,harmful generalization,1454.0,All Posts
352,2022-11-23,harmful generalization,1585.0,All Posts
353,2022-11-24,harmful generalization,1255.0,All Posts
354,2022-11-25,harmful generalization,1111.0,All Posts
355,2022-11-26,harmful generalization,1098.0,All Posts
356,2022-11-27,harmful generalization,1319.0,All Posts
357,2022-11-28,harmful generalization,1482.0,All Posts
358,2022-11-29,harmful generalization,1672.0,All Posts
359,2022-11-30,harmful generalization,1928.0,All Posts
360,2022-12-01,harmful generalization,1650.0,All Posts
361,2022-12-02,harmful generalization,1608.0,All Posts
362,2022-12-03,harmful generalization,1373.0,All Posts
363,2022-12-04,harmful generalization,1280.0,All Posts
364,2022-12-05,harmful generalization,1423.0,All Posts
365,2022-12-06,harmful generalization,1448.0,All Posts
366,2022-12-07,harmful generalization,1591.0,All Posts
367,2022-12-08,harmful generalization,1598.0,All Posts
368,2022-12-09,harmful generalization,1357.0,All Posts
369,2022-12-10,harmful generalization,1217.0,All Posts
370,2022-12-11,harmful generalization,1367.0,All Posts
371,2022-12-12,harmful generalization,1954.0,All Posts
372,2022-12-13,harmful generalization,2161.0,All Posts
373,2022-12-14,harmful generalization,1830.0,All Posts
374,2022-12-15,harmful generalization,1689.0,All Posts
375,2022-12-16,harmful generalization,1559.0,All Posts
376,2022-12-17,harmful generalization,1377.0,All Posts
377,2022-12-18,harmful generalization,1258.0,All Posts
378,2022-12-19,harmful generalization,1393.0,All Posts
379,2022-12-20,harmful generalization,1502.0,All Posts
380,2022-12-21,harmful generalization,1887.0,All Posts
381,2022-12-22,harmful generalization,1701.0,All Posts
382,2022-12-23,harmful generalization,1503.0,All Posts
383,2022-12-24,harmful generalization,1733.0,All Posts
384,2022-12-25,harmful generalization,1072.0,All Posts
385,2022-12-26,harmful generalization,1239.0,All Posts
386,2022-12-27,harmful generalization,1334.0,All Posts
387,2022-12-28,harmful generalization,1456.0,All Posts
388,2022-12-29,harmful generalization,1402.0,All Posts
389,2022-12-30,harmful generalization,1510.0,All Posts
390,2022-12-31,harmful generalization,1389.0,All Posts
391,2023-01-01,harmful generalization,1406.0,All Posts
392,2023-01-02,harmful generalization,1843.0,All Posts
393,2023-01-03,harmful generalization,1388.0,All Posts
394,2023-01-04,harmful generalization,1500.0,All Posts
395,2023-01-05,harmful generalization,1501.0,All Posts
396,2023-01-06,harmful generalization,1392.0,All Posts
397,2023-01-07,harmful generalization,1446.0,All Posts
398,2023-01-08,harmful generalization,1754.0,All Posts
399,2023-01-09,harmful generalization,1362.0,All Posts
400,2023-01-10,harmful generalization,2682.0,All Posts
401,2023-01-11,harmful generalization,4864.0,All Posts
402,2023-01-12,harmful generalization,2861.0,All Posts
403,2023-01-13,harmful generalization,1924.0,All Posts
404,2023-01-14,harmful generalization,1767.0,All Posts
405,2023-01-15,harmful generalization,1519.0,All Posts
406,2023-01-16,harmful generalization,1540.0,All Posts
407,2023-01-17,harmful generalization,1647.0,All Posts
408,2023-01-18,harmful generalization,1521.0,All Posts
409,2023-01-19,harmful generalization,2286.0,All Posts
410,2023-01-20,harmful generalization,2021.0,All Posts
411,2023-01-21,harmful generalization,1768.0,All Posts
412,2023-01-22,harmful generalization,1779.0,All Posts
413,2023-01-23,harmful generalization,1820.0,All Posts
414,2023-01-24,harmful generalization,609.0,All Posts
415,2023-01-26,harmful generalization,12.0,All Posts
416,2023-01-27,harmful generalization,1869.0,All Posts
417,2023-01-28,harmful generalization,1668.0,All Posts
418,2023-01-29,harmful generalization,1550.0,All Posts
419,2023-01-30,harmful generalization,1828.0,All Posts
420,2023-01-31,harmful generalization,1919.0,All Posts
421,2023-02-01,harmful generalization,1982.0,All Posts
422,2023-02-02,harmful generalization,1634.0,All Posts
423,2023-02-03,harmful generalization,1614.0,All Posts
424,2023-02-04,harmful generalization,1602.0,All Posts
425,2023-02-05,harmful generalization,1452.0,All Posts
426,2023-02-06,harmful generalization,1719.0,All Posts
427,2023-02-07,harmful generalization,1573.0,All Posts
428,2023-02-08,harmful generalization,1575.0,All Posts
429,2023-02-09,harmful generalization,837.0,All Posts
430,2023-02-16,harmful generalization,181.0,All Posts
431,2021-12-06,government critique,440.0,All Posts
432,2021-12-07,government critique,962.0,All Posts
433,2021-12-08,government critique,1376.0,All Posts
434,2021-12-09,government critique,1305.0,All Posts
435,2021-12-10,government critique,983.0,All Posts
436,2021-12-11,government critique,788.0,All Posts
437,2021-12-12,government critique,908.0,All Posts
438,2021-12-13,government critique,1051.0,All Posts
439,2021-12-14,government critique,986.0,All Posts
440,2021-12-15,government critique,952.0,All Posts
441,2021-12-16,government critique,1128.0,All Posts
442,2021-12-17,government critique,958.0,All Posts
443,2021-12-18,government critique,879.0,All Posts
444,2021-12-19,government critique,748.0,All Posts
445,2021-12-20,government critique,904.0,All Posts
446,2021-12-21,government critique,1135.0,All Posts
447,2021-12-22,government critique,1071.0,All Posts
448,2021-12-23,government critique,1568.0,All Posts
449,2021-12-24,government critique,1301.0,All Posts
450,2021-12-25,government critique,643.0,All Posts
451,2021-12-26,government critique,780.0,All Posts
452,2021-12-27,government critique,1257.0,All Posts
453,2021-12-28,government critique,1090.0,All Posts
454,2021-12-29,government critique,958.0,All Posts
455,2021-12-30,government critique,896.0,All Posts
456,2021-12-31,government critique,832.0,All Posts
457,2022-01-01,government critique,666.0,All Posts
458,2022-01-02,government critique,714.0,All Posts
459,2022-01-03,government critique,898.0,All Posts
460,2022-01-04,government critique,1533.0,All Posts
461,2022-01-05,government critique,1078.0,All Posts
462,2022-01-06,government critique,958.0,All Posts
463,2022-01-07,government critique,907.0,All Posts
464,2022-01-08,government critique,886.0,All Posts
465,2022-01-09,government critique,789.0,All Posts
466,2022-01-10,government critique,1063.0,All Posts
467,2022-01-11,government critique,1283.0,All Posts
468,2022-01-12,government critique,1200.0,All Posts
469,2022-01-13,government critique,944.0,All Posts
470,2022-01-14,government critique,976.0,All Posts
471,2022-01-15,government critique,882.0,All Posts
472,2022-01-16,government critique,936.0,All Posts
473,2022-01-17,government critique,1144.0,All Posts
474,2022-01-18,government critique,1217.0,All Posts
475,2022-01-19,government critique,1666.0,All Posts
476,2022-01-20,government critique,1321.0,All Posts
477,2022-01-21,government critique,1192.0,All Posts
478,2022-01-22,government critique,1046.0,All Posts
479,2022-01-23,government critique,927.0,All Posts
480,2022-01-24,government critique,932.0,All Posts
481,2022-01-25,government critique,1047.0,All Posts
482,2022-01-26,government critique,1216.0,All Posts
483,2022-01-27,government critique,1107.0,All Posts
484,2022-01-28,government critique,1016.0,All Posts
485,2022-01-29,government critique,978.0,All Posts
486,2022-01-30,government critique,1664.0,All Posts
487,2022-01-31,government critique,1671.0,All Posts
488,2022-02-01,government critique,1472.0,All Posts
489,2022-02-02,government critique,1505.0,All Posts
490,2022-02-03,government critique,1809.0,All Posts
491,2022-02-04,government critique,1958.0,All Posts
492,2022-02-05,government critique,1542.0,All Posts
493,2022-02-06,government critique,1417.0,All Posts
494,2022-02-07,government critique,1345.0,All Posts
495,2022-02-08,government critique,1305.0,All Posts
496,2022-02-09,government critique,1762.0,All Posts
497,2022-02-10,government critique,1650.0,All Posts
498,2022-02-11,government critique,1449.0,All Posts
499,2022-02-12,government critique,1392.0,All Posts
500,2022-02-13,government critique,1229.0,All Posts
501,2022-02-14,government critique,1389.0,All Posts
502,2022-02-15,government critique,1394.0,All Posts
503,2022-02-16,government critique,1485.0,All Posts
504,2022-02-17,government critique,1431.0,All Posts
505,2022-02-18,government critique,1643.0,All Posts
506,2022-02-19,government critique,1622.0,All Posts
507,2022-02-20,government critique,1308.0,All Posts
508,2022-02-21,government critique,1318.0,All Posts
509,2022-02-22,government critique,1257.0,All Posts
510,2022-02-23,government critique,1284.0,All Posts
511,2022-02-24,government critique,1447.0,All Posts
512,2022-02-25,government critique,1247.0,All Posts
513,2022-02-26,government critique,1138.0,All Posts
514,2022-02-27,government critique,954.0,All Posts
515,2022-02-28,government critique,1158.0,All Posts
516,2022-03-01,government critique,1157.0,All Posts
517,2022-03-02,government critique,1391.0,All Posts
518,2022-03-03,government critique,1389.0,All Posts
519,2022-03-04,government critique,1256.0,All Posts
520,2022-03-05,government critique,1051.0,All Posts
521,2022-03-06,government critique,1079.0,All Posts
522,2022-03-07,government critique,1244.0,All Posts
523,2022-03-08,government critique,1324.0,All Posts
524,2022-03-09,government critique,1725.0,All Posts
525,2022-03-10,government critique,1556.0,All Posts
526,2022-03-11,government critique,1376.0,All Posts
527,2022-03-12,government critique,1430.0,All Posts
528,2022-03-13,government critique,1511.0,All Posts
529,2022-03-14,government critique,1652.0,All Posts
530,2022-03-15,government critique,1847.0,All Posts
531,2022-03-16,government critique,1831.0,All Posts
532,2022-03-17,government critique,1469.0,All Posts
533,2022-03-18,government critique,1142.0,All Posts
534,2022-03-19,government critique,1056.0,All Posts
535,2022-03-20,government critique,898.0,All Posts
536,2022-03-21,government critique,1028.0,All Posts
537,2022-03-22,government critique,1135.0,All Posts
538,2022-03-23,government critique,1151.0,All Posts
539,2022-03-24,government critique,1423.0,All Posts
540,2022-03-25,government critique,1460.0,All Posts
541,2022-03-26,government critique,1157.0,All Posts
542,2022-03-27,government critique,1156.0,All Posts
543,2022-03-28,government critique,1194.0,All Posts
544,2022-03-29,government critique,1819.0,All Posts
545,2022-03-30,government critique,1521.0,All Posts
546,2022-03-31,government critique,2584.0,All Posts
547,2022-04-01,government critique,1688.0,All Posts
548,2022-04-02,government critique,1294.0,All Posts
549,2022-04-03,government critique,1112.0,All Posts
550,2022-04-04,government critique,1195.0,All Posts
551,2022-04-05,government critique,1208.0,All Posts
552,2022-04-06,government critique,1291.0,All Posts
553,2022-04-07,government critique,1593.0,All Posts
554,2022-04-08,government critique,1337.0,All Posts
555,2022-04-09,government critique,1193.0,All Posts
